Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SalePrice,MSZoning_C..all.,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blmngtn,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_NWAmes,Neighborhood_OldTown,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_SWISU,Neighborhood_Timber,Neighborhood_other,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,BldgType_X1Fam,BldgType_X2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_X1.5Fin,HouseStyle_X1.5Unf,HouseStyle_X1Story,HouseStyle_X2.5Fin,HouseStyle_X2.5Unf,HouseStyle_X2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd.Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk.Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd.Sdng,Exterior2nd_Wd.Shng,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,ExterQual_Ex,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,ExterCond_Ex,ExterCond_Fa,ExterCond_Gd,ExterCond_Po,ExterCond_TA,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinType1_ALQ,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,HeatingQC_Ex,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,CentralAir_N,CentralAir_Y,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,GarageType_X2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,PavedDrive_N,PavedDrive_P,PavedDrive_Y,SaleType_COD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_CWD,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
-2.1605238533811133,0.4932901338361499,-0.14112327366397784,0.6672710109173849,-0.477223321919203,1.0506337978673665,0.8783671227331236,1.2244877794761395,0.7972634876152546,-0.8872774663122825,-0.4038938657629464,-0.7993503197434114,1.1698372233865115,0.5283500405135718,1.1074306971230437,-0.24097846650905155,0.789470016700575,1.2271648985501924,0.17069376734166952,0.9460557636515102,-0.9509006699369583,0.9920659846433812,0.2737408169118806,0.383765547323533,-0.9500111593588286,0.8415344474693327,-1.6936461872514557,0.13942275639867727,7.932139568821057,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-2.148975153118811,-1.1638700078957955,0.10557218790714695,-0.04217654346921181,2.0106618400686758,0.15668002567432227,-0.42942982462068946,-0.8218089438735057,1.0111241486976594,-0.43424620930477636,0.5080013927543503,0.4290042869690877,-0.8711559146014616,-0.3826237315090869,-0.819683507644112,3.9474567847197015,0.789470016700575,-0.7613597983235932,0.17069376734166952,-0.23454647198318848,0.600289249736739,-0.1015063517460809,0.2737408169118806,-0.004604646200365944,1.2132966276751354,-1.07094145462852,-0.4447400327000111,-0.6137806402378552,7.877800363173938,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-2.1385105005529548,0.4932901338361499,0.41357915320209543,0.6672710109173849,-0.477223321919203,0.984414999927141,0.8299301987570564,1.1871557974005837,0.5711294521735469,-0.04807270022570163,-0.25370351768348615,-0.5683384622626002,1.172492708878096,0.6588861348305883,1.1074306971230437,-0.24097846650905155,0.789470016700575,1.2271648985501924,0.17069376734166952,-0.23454647198318848,0.600289249736739,0.91106062639231,0.2737408169118806,0.6417695501394474,-0.9500111593588286,0.6682300272783612,0.9871520888671875,0.13942275639867727,7.95914319932776,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-2.1287845020425267,0.6979515420870233,0.0954569625512613,0.6672710109173849,-0.477223321919203,-1.8629933115025554,-0.7200513684770923,-0.8218089438735057,0.1422245348807314,0.18326978755208195,-0.6445883841411975,-0.4292806091006804,1.1464410757742258,0.5406117851083643,1.1074306971230437,-0.24097846650905155,-1.0256893917763372,-0.7613597983235932,0.17069376734166952,0.389787523156672,0.600289249736739,0.789552589015703,1.7591102119224902,0.7858235582179999,-0.9500111593588286,0.584346904806366,-1.6936461872514557,-1.368586597292763,7.774506538738267,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
-2.1196093198973998,0.4932901338361499,0.8768267979589841,1.350459657746707,-0.477223321919203,0.9513056009570283,0.733056350804922,1.328385766116109,0.750284297519888,0.07745337511111582,0.25429772182646254,0.12465509360611869,1.20921261499733,1.282454525325031,1.1074306971230437,-0.24097846650905155,0.789470016700575,1.2271648985501924,1.3824006542599776,1.4481182754151116,0.600289249736739,0.8705579472667744,1.7591102119224902,1.5827243413533092,1.079325548739326,0.9915548637173003,1.9627921069970298,0.13942275639867727,8.002393428744883,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-2.110868232935015,0.24256357801829856,0.8567873239460122,-0.782902046445364,-0.477223321919203,0.7195398081662391,0.49087173092458636,-0.8218089438735057,0.8202141208250411,-1.3128263599158416,-0.5473730763534118,-1.0335104282682681,1.0894237121522365,-0.15412025696547704,1.1074306971230437,-0.24097846650905155,-1.0256893917763372,1.2271648985501924,-2.323886219379064,-0.9470371954301007,-0.9509006699369583,0.5870391933880249,0.2737408169118806,0.08480612912685227,0.5664351940821445,0.5138873343462721,1.3198073113767872,0.8918248728260219,7.783019958664875,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-2.102482345939081,-1.1638700078957955,0.2009304305102462,1.350459657746707,-0.477223321919203,1.0837431968374793,0.9752409706852578,1.2143906774220896,1.249260326987774,-0.3414526384989391,1.3810423726826804,1.335787497775145,-0.8711559146014616,0.5001348213496387,1.1074306971230437,-0.24097846650905155,0.789470016700575,-0.7613597983235932,0.17069376734166952,0.389787523156672,0.600289249736739,1.0325686637689169,0.2737408169118806,0.7605088342333597,1.1663052595574517,0.8098947896050857,0.6458027469573181,-0.6137806402378552,8.080709580483964,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-2.0943951272593395,0.4932901338361499,0.2574603504277583,0.6672710109173849,0.44040024417722945,0.05735182876398403,-0.5747405965488909,1.262394871385175,0.9240625655456508,-0.6453575804401269,0.17046840884507333,0.018529002610596472,1.1963963361723469,1.131022564695148,1.1074306971230437,-0.24097846650905155,0.789470016700575,1.2271648985501924,0.17069376734166952,0.389787523156672,2.1514791694104365,-0.2230143891226878,0.2737408169118806,0.1026032897673463,1.1414560750463938,1.413066741720678,1.6447535990608761,0.8918248728260219,7.915892123188239,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-2.086564290164326,0.24256357801829856,-0.7605197126140637,0.6672710109173849,-0.477223321919203,-1.3332429279807514,-1.6887898479984353,-0.8218089438735057,-1.3526952577141207,0.9076660922782622,-0.1796336662753639,-0.23381163800903157,1.1454146149456201,0.6386465488405625,-0.819683507644112,-0.24097846650905155,0.789470016700575,-0.7613597983235932,-1.062113423384091,0.9460557636515102,2.1514791694104365,-1.9241269123951845,0.2737408169118806,0.031245800075100055,0.8381979062085237,-1.07094145462852,-0.837793431303145,0.13942275639867727,7.7443292770900705,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
-2.078957140342773,1.8708971532000296,-0.3914417018076536,-0.782902046445364,0.44040024417722945,-1.0683677362198494,-1.6887898479984353,-0.8218089438735057,0.9178834453678802,-0.9285260247611873,-0.09023038444782541,-0.0680695519142657,-0.8711559146014616,-0.8572722593948937,1.1074306971230437,-0.24097846650905155,-1.0256893917763372,-0.7613597983235932,-1.062113423384091,-0.9470371954301007,2.1514791694104365,-1.6001054793908993,-1.047566963626246,-1.2283338113918572,-0.9500111593588286,-0.33604412497813335,-2.176022266421068,0.13942275639867727,7.705351326692148,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
